apartment,price,floor,area,dong,deal_date
래미안송파파인탑,138500,10,,송파동,2024-01-31
장미1,166000,7,,신천동,2024-01-31
위례아이파크,165000,12,,장지동,2024-01-20
파크리오,205000,7,,신천동,2024-01-21
레이크팰리스,172500,28,,잠실동,2024-01-27
문정시영,58500,11,,문정동,2024-01-20
문정시영,64500,10,,문정동,2024-01-24
송파파인타운3단지,118000,8,,장지동,2024-01-27
송파파인타운6단지,111000,1,,장지동,2024-01-25
올림픽베어스타운1,81800,15,,방이동,2024-01-10
e편한세상송파파크센트럴,139000,28,,거여동,2024-01-18
잠실엘스,225000,12,,잠실동,2024-01-27
파크리오,220000,24,,신천동,2024-01-23
레이크팰리스,167000,18,,잠실동,2024-01-23
헬리오시티,137000,9,,가락동,2024-01-19
현대2,70000,2,,문정동,2024-01-18
송파시그니처롯데캐슬,127000,2,,거여동,2024-01-17
올림픽선수기자촌3단지,267000,5,,방이동,2024-01-12
장미1,167500,12,,신천동,2024-01-23
e편한세상송파파크센트럴,112000,10,,거여동,2024-01-13
잠실엘스,230000,10,,잠실동,2024-01-20
주공아파트 5단지,237800,11,,잠실동,2024-01-24
문정시영,65800,4,,문정동,2024-01-20
송파더센트레,88000,17,,장지동,2024-01-08
가락(1차)쌍용아파트,105500,17,,가락동,2024-01-12
주공아파트 5단지,267000,15,,잠실동,2024-01-27
올림픽선수기자촌2단지,185000,7,,방이동,2024-01-20
올림픽훼밀리타운,164000,10,,문정동,2024-01-24
올림픽훼밀리타운,210000,6,,문정동,2024-01-20
헬리오시티,194000,7,,가락동,2024-01-13
거여1단지,54600,2,,거여동,2024-01-24
올림픽훼밀리타운,161000,15,,문정동,2024-01-19
상아2차아파트,80500,9,,오금동,2024-01-11
리센츠,92000,24,,잠실동,2024-01-19
위례24단지(꿈에그린),145000,12,,장지동,2024-01-19
가락(1차)쌍용아파트,115500,21,,가락동,2024-01-20
올림픽선수기자촌1단지,260000,4,,방이동,2024-01-28
거여2단지효성아파트,133000,12,,거여동,2024-01-19
문정시영,47800,1,,문정동,2024-01-15
더뷰21,73000,8,,오금동,2024-01-13
송파위례리슈빌,138000,3,,거여동,2024-01-10
갤러리아팰리스,295000,38,,잠실동,2024-01-23
삼호아파트,75000,10,,거여동,2024-01-13
석촌호수효성해링턴타워,29000,10,,석촌동,2024-01-30
대림,135000,8,,오금동,2024-01-29
우성,140000,12,,가락동,2024-01-27
래미안파크팰리스,131900,16,,가락동,2024-01-17
올림픽훼밀리타운,159500,11,,문정동,2024-01-16
송파파인타운10단지,105000,3,,장지동,2024-01-15
파크하비오,143000,18,,문정동,2024-01-22
위례24단지(꿈에그린),140000,3,,장지동,2024-01-13
가락금호아파트,110500,13,,가락동,2024-01-19
잠실한솔,111000,5,,석촌동,2024-01-12
송파현대힐스테이트,95000,2,,풍납동,2024-01-26
우방아파트,67800,14,,마천동,2024-01-28
송파현대힐스테이트,119000,2,,풍납동,2024-01-30
우방아파트,90500,17,,마천동,2024-01-28
