apartment,dong,price,area,floor,bonbeon,bubeon,region
매탄레이크파크,매탄동,"39,000",,19,1230,0000,경기_수원영통구
엘지동수원자이,망포동,"62,500",,9,698,0000,경기_수원영통구
벽적골롯데,영통동,"62,000",,14,971-1,0001,경기_수원영통구
황골마을(쌍용),영통동,"40,000",,6,1052-2,0002,경기_수원영통구
영통에듀파크(331동~337동),영통동,"83,000",,12,957-6,0006,경기_수원영통구
태영,영통동,"48,000",,1,969-1,0001,경기_수원영통구
방죽마을영통뜨란채,망포동,"56,000",,11,707,0000,경기_수원영통구
원천레이크파크,원천동,"46,000",,6,548,0000,경기_수원영통구
매탄위브하늘채,매탄동,"65,800",,23,1352,0000,경기_수원영통구
청명마을동신,영통동,"96,000",,13,956-2,0002,경기_수원영통구
광교2차e편한세상,이의동,"109,000",,6,1200,0000,경기_수원영통구
e편한세상영통2차(2단지),망포동,"63,700",,22,727,0000,경기_수원영통구
삼성,영통동,"62,500",,11,969-1,0001,경기_수원영통구
광교중흥에스클래스,원천동,"189,000",,20,589,0000,경기_수원영통구
황골마을주공1,영통동,"44,500",,4,955-1,0001,경기_수원영통구
과천푸르지오써밋,중앙동,"267,000",,12,101,0000,경기_과천시
과천자이,별양동,"164,000",,5,93,0000,경기_과천시
래미안슈르,별양동,"192,000",,15,17,0000,경기_과천시
과천푸르지오써밋,중앙동,"265,000",,19,101,0000,경기_과천시
롯데3차,좌동,"36,000",,4,1300,0000,부산_해운대구
해운대힐스테이트위브,중동,"82,000",,24,1818,0000,부산_해운대구
두산1차아파트,좌동,"22,200",,12,1394,0000,부산_해운대구
엘지,좌동,"70,000",,19,1398,0000,부산_해운대구
이진캐스빌,중동,"28,000",,2,1526-1,0001,부산_해운대구
더샵센텀파크1차,재송동,"118,000",,30,1200,0000,부산_해운대구
삼강,중동,"19,000",,8,1402-5,0005,부산_해운대구
아시아선수촌아파트,반여동,"36,000",,9,1638,0000,부산_해운대구
해운대힐스테이트위브,중동,"66,000",,8,1818,0000,부산_해운대구
경남마리나,우동,"61,000",,3,1388-1,0001,부산_해운대구
해운대동백두산위브더제니스,우동,"81,000",,15,1544,0000,부산_해운대구
센텀롯데캐슬2차,반여동,"34,000",,23,1660,0000,부산_해운대구
롯데,우동,"65,500",,15,938,0000,부산_해운대구
센텀이편한세상,재송동,"68,000",,5,939-2,0002,부산_해운대구
청목마리안,중동,"59,000",,5,277,0000,부산_해운대구
삼호가든맨션,우동,"74,500",,10,1104-1,0001,부산_해운대구
해운대협성엠파이어,우동,"34,000",,6,918-3,0003,부산_해운대구
센텀대림,반여동,"23,500",,8,1199-11,0011,부산_해운대구
SKVIEW,좌동,"24,900",,10,1450,0000,부산_해운대구
벽산1,좌동,"67,500",,1,1321,0000,부산_해운대구
대동타운,좌동,"27,500",,3,1288,0000,부산_해운대구
SKVIEW,좌동,"30,800",,20,1450,0000,부산_해운대구
대우동삼,우동,"59,500",,9,1007-16,0016,부산_해운대구
한일,좌동,"64,000",,3,1274,0000,부산_해운대구
대림,좌동,"43,000",,16,1396,0000,부산_해운대구
광하주택3,반송동,"8,500",,3,93-6,0006,부산_해운대구
센텀경동리인,우동,"58,800",,13,1543,0000,부산_해운대구
벽산2,좌동,"30,200",,11,1439,0000,부산_해운대구
삼강,중동,"8,000",,1,1402-5,0005,부산_해운대구
삼한2,반송동,"13,500",,19,872,0000,부산_해운대구
화목,좌동,"44,000",,3,1310,0000,부산_해운대구
센텀피오레1차,재송동,"53,500",,18,1302,0000,부산_해운대구
센텀협성르네상스타운,재송동,"64,500",,19,1324,0000,부산_해운대구
상록,좌동,"28,400",,7,1331,0000,부산_해운대구
해운대송정우림필유아파트,송정동,"33,000",,23,947,0000,부산_해운대구
센텀삼환Nauville,우동,"52,300",,19,1100,0000,부산_해운대구
대우,좌동,"40,500",,18,1333,0000,부산_해운대구
해운대경동리인뷰1차,중동,"110,000",,42,1843,0000,부산_해운대구
삼한그린맨션,반송동,"6,500",,6,401,0000,부산_해운대구
대우,좌동,"43,000",,15,1333,0000,부산_해운대구
센텀우신골든빌,재송동,"24,000",,4,1048-3,0003,부산_해운대구
센텀이편한세상,재송동,"67,950",,3,939-2,0002,부산_해운대구
센텀삼환Nauville,우동,"50,800",,12,1100,0000,부산_해운대구
한일,좌동,"46,500",,3,1274,0000,부산_해운대구
벽산2,좌동,"37,000",,19,1439,0000,부산_해운대구
범어태왕아너스,범어동,"56,800",,17,475-6,0006,대구_수성구
메트로팔레스2,만촌동,"39,500",,22,1356-7,0007,대구_수성구
만촌우방타운1단지,만촌동,"38,000",,13,816,0000,대구_수성구
더트루엘수성,범물동,"59,700",,6,1403,0000,대구_수성구
태왕4하이츠,욱수동,"34,300",,5,185-1,0001,대구_수성구
만촌태왕리더스,만촌동,"45,600",,9,995-1,0001,대구_수성구
하나타운,매호동,"15,200",,3,1331,0000,대구_수성구
유림노르웨이숲,범어동,"105,000",,15,906-1,0001,대구_수성구
태왕하이츠리버뷰,수성동1가,"46,000",,12,93-1,0001,대구_수성구
범어아이파크1차아파트,범어동,"172,000",,4,2300,0000,대구_수성구
범어역아이위시,범어동,"24,500",,13,792-43,0043,대구_수성구
누리타운,매호동,"14,100",,10,1330,0000,대구_수성구
수성더팰리스푸르지오더샵,파동,"34,500",,5,1034,0000,대구_수성구
태왕하이츠1,신매동,"22,000",,10,263,0000,대구_수성구
수성보성,수성동4가,"42,500",,13,1090-6,0006,대구_수성구
수성더팰리스푸르지오더샵,파동,"46,700",,15,1034,0000,대구_수성구
수성더팰리스푸르지오더샵,파동,"47,300",,24,1034,0000,대구_수성구
수성푸르지오리버센트,중동,"80,000",,22,556,0000,대구_수성구
신매역우방유셀,매호동,"29,500",,5,775,0000,대구_수성구
매호동서타운,매호동,"30,500",,12,1040,0000,대구_수성구
시지동화아이위시,사월동,"37,500",,11,642,0000,대구_수성구
범어쌍용예가,범어동,"98,000",,13,808,0000,대구_수성구
한일유앤아이,매호동,"31,300",,18,979-4,0004,대구_수성구
메트로팔레스3,만촌동,"43,750",,3,1429,0000,대구_수성구
시지매호2동서,매호동,"24,000",,4,1077-1,0001,대구_수성구
수성SK리더스뷰,두산동,"125,000",,33,113,0000,대구_수성구
e편한세상범어,범어동,"73,000",,7,2240,0000,대구_수성구
시지효성백년가약2단지,신매동,"92,000",,10,30-6,0006,대구_수성구
천마타운,신매동,"49,500",,4,579,0000,대구_수성구
메트로팔레스3,만촌동,"51,500",,6,1429,0000,대구_수성구
수성영남,수성동1가,"32,400",,11,105-5,0005,대구_수성구
대우트럼프월드수성,두산동,"63,000",,33,105,0000,대구_수성구
우방미진하이츠,범물동,"24,500",,20,670,0000,대구_수성구
우방금탑,만촌동,"34,400",,9,860,0000,대구_수성구
수성롯데캐슬,수성동4가,"72,000",,5,1085-28,0028,대구_수성구
사월화성파크드림(1단지),신매동,"43,000",,14,10-14,0014,대구_수성구
힐스테이트범어센트럴,범어동,"105,000",,27,2277,0000,대구_수성구
태왕하이츠2,매호동,"28,200",,3,1075-1,0001,대구_수성구
태왕하이츠리버뷰,수성동1가,"58,500",,14,93-1,0001,대구_수성구
오성우방,수성동1가,"21,700",,18,96-14,0014,대구_수성구
캐슬골드파크1단지,황금동,"34,700",,15,365,0000,대구_수성구
메트로팔레스3,만촌동,"46,850",,13,1429,0000,대구_수성구
메트로팔레스2,만촌동,"72,000",,11,1356-7,0007,대구_수성구
캐슬골드파크5단지,황금동,"50,900",,12,365,0000,대구_수성구
수성더팰리스푸르지오더샵,파동,"49,000",,11,1034,0000,대구_수성구
범물영남,범물동,"33,000",,10,1269,0000,대구_수성구
수성태영데시앙,수성동4가,"97,000",,19,1017-1,0001,대구_수성구
범어센트럴푸르지오,범어동,"119,950",,28,2257,0000,대구_수성구
"연수타운(금호,동아)",동춘동,"43,000",,8,923,0000,인천_연수구
아주,동춘동,"26,500",,5,942,0000,인천_연수구
서해그랑블포레스트,동춘동,"40,000",,15,1149,0000,인천_연수구
아주1,옥련동,"14,500",,5,640-1,0001,인천_연수구
현대4,옥련동,"30,500",,11,637-1,0001,인천_연수구
동남,동춘동,"21,800",,4,943,0000,인천_연수구
동남,동춘동,"22,600",,5,943,0000,인천_연수구
풍림1,연수동,"36,000",,6,582,0000,인천_연수구
대동,연수동,"37,250",,11,633,0000,인천_연수구
윤성,선학동,"20,300",,11,387,0000,인천_연수구
송도아메리칸타운아이파크,송도동,"78,700",,23,155,0000,인천_연수구
연수주공2차,연수동,"19,100",,6,533,0000,인천_연수구
호반써밋송도,송도동,"63,700",,22,312-1,0001,인천_연수구
대림3,동춘동,"19,700",,1,940,0000,인천_연수구
송도SKVIEW,송도동,"61,700",,1,315-1,0001,인천_연수구
송도푸르지오월드마크7단지,송도동,"61,000",,16,22-21,0021,인천_연수구
현대1,옥련동,"26,000",,18,628,0000,인천_연수구
송도에듀포레푸르지오,송도동,"59,900",,23,191-4,0004,인천_연수구
e편한세상송도,송도동,"53,000",,26,319-1,0001,인천_연수구
동남,청학동,"13,500",,2,538-12,0012,인천_연수구
인천송도힐스테이트4단지,송도동,"83,500",,19,21-60,0060,인천_연수구
